Name;Type(s);Height;Weight;Abilities;Sprite Link;Official Art Link;Total Base Stats;Habitat;Color;Is Legendary;Is Mythical;HP;Attack;Defense;Special Attack;Special Defense;Speed;No Damage From;Quarter Damage From;Half Damage From;Normal Damage From;Double Damage From;Quadruple Damage From
weedle;bug,poison;0.3 m;3.2 kg;shield-dust or run-away;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png;195;forest;brown;false;false;40;35;30;20;20;50;;fighting,grass;poison,bug,fairy;ground;flying,rock,fire,psychic;
kakuna;bug,poison;0.6 m;10 kg;shed-skin;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png;205;forest;yellow;false;false;45;25;50;25;25;35;;fighting,grass;poison,bug,fairy;ground;flying,rock,fire,psychic;
beedrill;bug,poison;1 m;29.5 kg;swarm or sniper;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png;395;forest;yellow;false;false;65;90;40;45;80;75;;fighting,grass;poison,bug,fairy;ground;flying,rock,fire,psychic;
pidgey;normal,flying;0.3 m;1.8 kg;keen-eye or tangled-feet or big-pecks;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png;251;forest;brown;false;false;40;45;40;35;35;56;ghost,ground;;bug,grass;fighting;rock,electric,ice;
pidgeotto;normal,flying;1.1 m;30 kg;keen-eye or tangled-feet or big-pecks;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png;349;forest;brown;false;false;63;60;55;50;50;71;ghost,ground;;bug,grass;fighting;rock,electric,ice;
pidgeot;normal,flying;1.5 m;39.5 kg;keen-eye or tangled-feet or big-pecks;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png;479;forest;brown;false;false;83;80;75;70;70;101;ghost,ground;;bug,grass;fighting;rock,electric,ice;
rattata;normal;0.3 m;3.5 kg;run-away or guts or hustle;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png;253;grassland;purple;false;false;30;56;35;25;35;72;ghost;;;;fighting;
raticate;normal;0.7 m;18.5 kg;run-away or guts or hustle;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png;413;grassland;brown;false;false;55;81;60;50;70;97;ghost;;;;fighting;
spearow;normal,flying;0.3 m;2 kg;keen-eye or sniper;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png;262;rough-terrain;brown;false;false;40;60;30;31;31;70;ghost,ground;;bug,grass;fighting;rock,electric,ice;
fearow;normal,flying;1.2 m;38 kg;keen-eye or sniper;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png;442;rough-terrain;brown;false;false;65;90;65;61;61;100;ghost,ground;;bug,grass;fighting;rock,electric,ice;
ekans;poison;2 m;6.9 kg;intimidate or shed-skin or unnerve;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png;288;grassland;purple;false;false;35;60;44;40;54;55;;;fighting,poison,bug,grass,fairy;;ground,psychic;
arbok;poison;3.5 m;65 kg;intimidate or shed-skin or unnerve;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png;448;grassland;purple;false;false;60;95;69;65;79;80;;;fighting,poison,bug,grass,fairy;;ground,psychic;
pikachu;electric;0.4 m;6 kg;static or lightning-rod;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png;320;forest;yellow;false;false;35;55;40;50;50;90;;;flying,steel,electric;;ground;
raichu;electric;0.8 m;30 kg;static or lightning-rod;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png;485;forest;yellow;false;false;60;90;55;90;80;110;;;flying,steel,electric;;ground;
sandshrew;ground;0.6 m;12 kg;sand-veil or sand-rush;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png;300;rough-terrain;yellow;false;false;50;75;85;20;30;40;electric;;poison,rock;;water,grass,ice;
sandslash;ground;1 m;29.5 kg;sand-veil or sand-rush;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png;450;rough-terrain;yellow;false;false;75;100;110;45;55;65;electric;;poison,rock;;water,grass,ice;
nidoran-f;poison;0.4 m;7 kg;poison-point or rivalry or hustle;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png;275;grassland;blue;false;false;55;47;52;40;40;41;;;fighting,poison,bug,grass,fairy;;ground,psychic;
nidorina;poison;0.8 m;20 kg;poison-point or rivalry or hustle;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png;365;grassland;blue;false;false;70;62;67;55;55;56;;;fighting,poison,bug,grass,fairy;;ground,psychic;
nidoqueen;poison,ground;1.3 m;60 kg;poison-point or rivalry or sheer-force;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png;505;grassland;blue;false;false;90;92;87;75;85;76;electric;poison;fighting,bug,fairy,rock;grass;ground,psychic,water,ice;
nidoran-m;poison;0.5 m;9 kg;poison-point or rivalry or hustle;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png;273;grassland;purple;false;false;46;57;40;40;40;50;;;fighting,poison,bug,grass,fairy;;ground,psychic;
nidorino;poison;0.9 m;19.5 kg;poison-point or rivalry or hustle;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png;365;grassland;purple;false;false;61;72;57;55;55;65;;;fighting,poison,bug,grass,fairy;;ground,psychic;
nidoking;poison,ground;1.4 m;62 kg;poison-point or rivalry or sheer-force;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png;505;grassland;purple;false;false;81;102;77;85;75;85;electric;poison;fighting,bug,fairy,rock;grass;ground,psychic,water,ice;
clefairy;fairy;0.6 m;7.5 kg;cute-charm or magic-guard or friend-guard;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png;323;mountain;pink;false;false;70;45;48;60;65;35;dragon;;fighting,bug,dark;;poison,steel;
clefable;fairy;1.3 m;40 kg;cute-charm or magic-guard or unaware;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png;483;mountain;pink;false;false;95;70;73;95;90;60;dragon;;fighting,bug,dark;;poison,steel;
vulpix;fire;0.6 m;9.9 kg;flash-fire or drought;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png;299;grassland;brown;false;false;38;41;40;50;65;65;;;bug,steel,fire,grass,ice,fairy;;ground,rock,water;
ninetales;fire;1.1 m;19.9 kg;flash-fire or drought;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png;505;grassland;yellow;false;false;73;76;75;81;100;100;;;bug,steel,fire,grass,ice,fairy;;ground,rock,water;
jigglypuff;normal,fairy;0.5 m;5.5 kg;cute-charm or competitive or friend-guard;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png;270;grassland;pink;false;false;115;45;20;45;25;20;ghost,dragon;;bug,dark;fighting;poison,steel;
wigglytuff;normal,fairy;1 m;12 kg;cute-charm or competitive or frisk;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png;435;grassland;pink;false;false;140;70;45;85;50;45;ghost,dragon;;bug,dark;fighting;poison,steel;
zubat;poison,flying;0.8 m;7.5 kg;inner-focus or infiltrator;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png;245;cave;purple;false;false;40;45;35;30;40;55;ground;fighting,bug,grass;poison,fairy;;psychic,rock,electric,ice;
golbat;poison,flying;1.6 m;55 kg;inner-focus or infiltrator;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png;455;cave;purple;false;false;75;80;70;65;75;90;ground;fighting,bug,grass;poison,fairy;;psychic,rock,electric,ice;
oddish;grass,poison;0.5 m;5.4 kg;chlorophyll or run-away;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png;320;grassland;blue;false;false;45;50;55;75;65;30;;grass;water,electric,fighting,fairy;ground,poison,bug;flying,fire,ice,psychic;
gloom;grass,poison;0.8 m;8.6 kg;chlorophyll or stench;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png;395;grassland;blue;false;false;60;65;70;85;75;40;;grass;water,electric,fighting,fairy;ground,poison,bug;flying,fire,ice,psychic;
vileplume;grass,poison;1.2 m;18.6 kg;chlorophyll or effect-spore;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png;490;grassland;red;false;false;75;80;85;110;90;50;;grass;water,electric,fighting,fairy;ground,poison,bug;flying,fire,ice,psychic;
paras;bug,grass;0.3 m;5.4 kg;effect-spore or dry-skin or damp;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png;285;forest;red;false;false;35;70;55;45;55;25;;ground,grass;fighting,water,electric;;rock,poison,bug,ice;flying,fire
parasect;bug,grass;1 m;29.5 kg;effect-spore or dry-skin or damp;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png;405;forest;red;false;false;60;95;80;60;80;30;;ground,grass;fighting,water,electric;;rock,poison,bug,ice;flying,fire
venonat;bug,poison;1 m;30 kg;compound-eyes or tinted-lens or run-away;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png;305;forest;purple;false;false;60;55;50;40;55;45;;fighting,grass;poison,bug,fairy;ground;flying,rock,fire,psychic;
venomoth;bug,poison;1.5 m;12.5 kg;shield-dust or tinted-lens or wonder-skin;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png;450;forest;purple;false;false;70;65;60;90;75;90;;fighting,grass;poison,bug,fairy;ground;flying,rock,fire,psychic;
diglett;ground;0.2 m;0.8 kg;sand-veil or arena-trap or sand-force;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png;265;cave;brown;false;false;10;55;25;35;45;95;electric;;poison,rock;;water,grass,ice;
dugtrio;ground;0.7 m;33.3 kg;sand-veil or arena-trap or sand-force;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png;425;cave;brown;false;false;35;100;50;50;70;120;electric;;poison,rock;;water,grass,ice;
meowth;normal;0.4 m;4.2 kg;pickup or technician or unnerve;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png;290;urban;yellow;false;false;40;45;35;40;40;90;ghost;;;;fighting;
persian;normal;1 m;32 kg;limber or technician or unnerve;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png;440;urban;yellow;false;false;65;70;60;65;65;115;ghost;;;;fighting;
psyduck;water;0.8 m;19.6 kg;damp or cloud-nine or swift-swim;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png;320;waters-edge;yellow;false;false;50;52;48;65;50;55;;;steel,fire,water,ice;;grass,electric;
golduck;water;1.7 m;76.6 kg;damp or cloud-nine or swift-swim;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png;500;waters-edge;blue;false;false;80;82;78;95;80;85;;;steel,fire,water,ice;;grass,electric;
mankey;fighting;0.5 m;28 kg;vital-spirit or anger-point or defiant;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png;305;mountain;brown;false;false;40;80;35;35;45;70;;;rock,bug,dark;;flying,psychic,fairy;
primeape;fighting;1 m;32 kg;vital-spirit or anger-point or defiant;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png;455;mountain;brown;false;false;65;105;60;60;70;95;;;rock,bug,dark;;flying,psychic,fairy;
growlithe;fire;0.7 m;19 kg;intimidate or flash-fire or justified;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png;350;grassland;brown;false;false;55;70;45;70;50;60;;;bug,steel,fire,grass,ice,fairy;;ground,rock,water;
arcanine;fire;1.9 m;155 kg;intimidate or flash-fire or justified;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png;555;grassland;brown;false;false;90;110;80;100;80;95;;;bug,steel,fire,grass,ice,fairy;;ground,rock,water;
poliwag;water;0.6 m;12.4 kg;water-absorb or damp or swift-swim;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png;300;waters-edge;blue;false;false;40;50;40;40;40;90;;;steel,fire,water,ice;;grass,electric;
poliwhirl;water;1 m;20 kg;water-absorb or damp or swift-swim;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png;385;waters-edge;blue;false;false;65;65;65;50;50;90;;;steel,fire,water,ice;;grass,electric;
poliwrath;water,fighting;1.3 m;54 kg;water-absorb or damp or swift-swim;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png;510;waters-edge;blue;false;false;90;95;95;70;90;70;;;steel,fire,water,ice,rock,bug,dark;;grass,electric,flying,psychic,fairy;
abra;psychic;0.9 m;19.5 kg;synchronize or inner-focus or magic-guard;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png;310;urban;brown;false;false;25;20;15;105;55;90;;;fighting,psychic;;bug,ghost,dark;
kadabra;psychic;1.3 m;56.5 kg;synchronize or inner-focus or magic-guard;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png;400;urban;brown;false;false;40;35;30;120;70;105;;;fighting,psychic;;bug,ghost,dark;
alakazam;psychic;1.5 m;48 kg;synchronize or inner-focus or magic-guard;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png;500;urban;brown;false;false;55;50;45;135;95;120;;;fighting,psychic;;bug,ghost,dark;
machop;fighting;0.8 m;19.5 kg;guts or no-guard or steadfast;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png;305;mountain;gray;false;false;70;80;50;35;35;35;;;rock,bug,dark;;flying,psychic,fairy;
machoke;fighting;1.5 m;70.5 kg;guts or no-guard or steadfast;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png;405;mountain;gray;false;false;80;100;70;50;60;45;;;rock,bug,dark;;flying,psychic,fairy;
machamp;fighting;1.6 m;130 kg;guts or no-guard or steadfast;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png;505;mountain;gray;false;false;90;130;80;65;85;55;;;rock,bug,dark;;flying,psychic,fairy;
bellsprout;grass,poison;0.7 m;4 kg;chlorophyll or gluttony;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png;300;forest;green;false;false;50;75;35;70;30;40;;grass;water,electric,fighting,fairy;ground,poison,bug;flying,fire,ice,psychic;
weepinbell;grass,poison;1 m;6.4 kg;chlorophyll or gluttony;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png;390;forest;green;false;false;65;90;50;85;45;55;;grass;water,electric,fighting,fairy;ground,poison,bug;flying,fire,ice,psychic;
victreebel;grass,poison;1.7 m;15.5 kg;chlorophyll or gluttony;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png;490;forest;green;false;false;80;105;65;100;70;70;;grass;water,electric,fighting,fairy;ground,poison,bug;flying,fire,ice,psychic;
tentacool;water,poison;0.9 m;45.5 kg;clear-body or liquid-ooze or rain-dish;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png;335;sea;blue;false;false;40;40;35;50;100;70;;;steel,fire,water,ice,fighting,poison,bug,fairy;grass;electric,ground,psychic;
tentacruel;water,poison;1.6 m;55 kg;clear-body or liquid-ooze or rain-dish;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png;515;sea;blue;false;false;80;70;65;80;120;100;;;steel,fire,water,ice,fighting,poison,bug,fairy;grass;electric,ground,psychic;
geodude;rock,ground;0.4 m;20 kg;rock-head or sturdy or sand-veil;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png;300;mountain;brown;false;false;40;80;100;30;30;20;electric;poison;normal,flying,fire,rock;;fighting,ground,steel,ice;water,grass
graveler;rock,ground;1 m;105 kg;rock-head or sturdy or sand-veil;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png;390;mountain;brown;false;false;55;95;115;45;45;35;electric;poison;normal,flying,fire,rock;;fighting,ground,steel,ice;water,grass
golem;rock,ground;1.4 m;300 kg;rock-head or sturdy or sand-veil;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png;495;mountain;brown;false;false;80;120;130;55;65;45;electric;poison;normal,flying,fire,rock;;fighting,ground,steel,ice;water,grass
ponyta;fire;1 m;30 kg;run-away or flash-fire or flame-body;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png;410;grassland;yellow;false;false;50;85;55;65;65;90;;;bug,steel,fire,grass,ice,fairy;;ground,rock,water;
